Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-12 00:00:00;;6.70;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-13 00:00:00;;6.62;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-14 00:00:00;;6.73;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-15 00:00:00;;6.85;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-16 00:00:00;;7.34;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-17 00:00:00;;7.59;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-18 00:00:00;;7.53;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-19 00:00:00;;7.50;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-20 00:00:00;;7.37;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-21 00:00:00;;6.99;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-22 00:00:00;;7.34;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-23 00:00:00;;7.05;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-24 00:00:00;;6.82;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-25 00:00:00;;6.66;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-26 00:00:00;;6.94;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-27 00:00:00;;6.70;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-28 00:00:00;;6.92;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-29 00:00:00;;7.26;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-01 00:00:00;;7.13;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-02 00:00:00;;7.24;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-03 00:00:00;;7.47;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-04 00:00:00;;7.40;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-05 00:00:00;;7.48;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-06 00:00:00;;6.97;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-07 00:00:00;;7.03;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-08 00:00:00;;6.79;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-09 00:00:00;;7.03;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-10 00:00:00;;6.79;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-11 00:00:00;;6.89;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-12 00:00:00;;7.10;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-13 00:00:00;;7.46;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-14 00:00:00;;7.69;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-15 00:00:00;;8.14;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-16 00:00:00;;8.01;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-17 00:00:00;;7.37;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-18 00:00:00;;7.60;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-19 00:00:00;;7.73;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-20 00:00:00;;7.83;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-21 00:00:00;;8.13;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-22 00:00:00;;8.29;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-23 00:00:00;;8.03;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-24 00:00:00;;6.97;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-25 00:00:00;;7.41;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-26 00:00:00;;8.30;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-27 00:00:00;;7.90;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-28 00:00:00;;7.45;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-29 00:00:00;;7.88;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-30 00:00:00;;8.14;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-31 00:00:00;;8.36;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-01 00:00:00;;8.18;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-02 00:00:00;;8.17;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-03 00:00:00;;7.82;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-04 00:00:00;;8.58;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-05 00:00:00;;8.94;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-06 00:00:00;;9.33;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-07 00:00:00;;9.93;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-08 00:00:00;;9.96;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-09 00:00:00;;9.04;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-10 00:00:00;;8.50;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-11 00:00:00;;8.87;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-12 00:00:00;;9.25;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-13 00:00:00;;9.97;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-14 00:00:00;;11.31;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-15 00:00:00;;10.51;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-16 00:00:00;;7.68;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-17 00:00:00;;7.48;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-18 00:00:00;;8.06;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-19 00:00:00;;7.98;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-20 00:00:00;;8.31;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-21 00:00:00;;8.03;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-22 00:00:00;;7.69;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-23 00:00:00;;7.37;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-24 00:00:00;;7.59;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-25 00:00:00;;8.38;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-26 00:00:00;;8.85;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-27 00:00:00;;9.37;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-28 00:00:00;;9.32;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-29 00:00:00;;9.65;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-04-30 00:00:00;;9.82;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-01 00:00:00;;9.92;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-02 00:00:00;;9.90;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-03 00:00:00;;9.60;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-04 00:00:00;;9.93;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-05 00:00:00;;10.17;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-06 00:00:00;;10.24;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-07 00:00:00;;9.75;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-08 00:00:00;;9.90;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-09 00:00:00;;10.18;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-10 00:00:00;;10.71;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-11 00:00:00;;10.84;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-12 00:00:00;;11.58;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-13 00:00:00;;12.56;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-14 00:00:00;;13.09;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-15 00:00:00;;10.91;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-16 00:00:00;;10.16;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-17 00:00:00;;11.09;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-18 00:00:00;;11.50;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-19 00:00:00;;12.25;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-20 00:00:00;;12.70;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-21 00:00:00;;12.74;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-22 00:00:00;;13.33;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-23 00:00:00;;13.26;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-24 00:00:00;;13.08;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-25 00:00:00;;13.24;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-26 00:00:00;;13.55;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-27 00:00:00;;13.23;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-28 00:00:00;;12.92;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-29 00:00:00;;13.29;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-05-30 00:00:00;;13.54;Freigegeben, geprüfte Daten
