Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-12 00:00:00;;501.891;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-13 00:00:00;;501.868;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-14 00:00:00;;501.805;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-15 00:00:00;;501.747;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-16 00:00:00;;501.713;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-17 00:00:00;;501.763;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-18 00:00:00;;501.775;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-19 00:00:00;;501.798;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-20 00:00:00;;501.851;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-21 00:00:00;;501.810;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-22 00:00:00;;501.721;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-23 00:00:00;;501.930;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-24 00:00:00;;501.907;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-25 00:00:00;;501.889;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-26 00:00:00;;501.879;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-27 00:00:00;;501.805;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-28 00:00:00;;501.793;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-02-29 00:00:00;;501.790;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-01 00:00:00;;501.788;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-02 00:00:00;;501.750;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-03 00:00:00;;501.741;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-04 00:00:00;;501.714;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-05 00:00:00;;501.696;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-06 00:00:00;;501.761;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-07 00:00:00;;501.768;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-08 00:00:00;;501.761;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-09 00:00:00;;501.770;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-10 00:00:00;;501.869;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-11 00:00:00;;501.918;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-12 00:00:00;;501.839;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-13 00:00:00;;501.820;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-14 00:00:00;;501.810;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-15 00:00:00;;501.861;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-16 00:00:00;;502.055;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-17 00:00:00;;502.186;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-18 00:00:00;;502.399;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-19 00:00:00;;502.511;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-20 00:00:00;;502.362;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-21 00:00:00;;502.281;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-22 00:00:00;;502.233;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-23 00:00:00;;502.261;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-24 00:00:00;;502.287;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-25 00:00:00;;502.140;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-26 00:00:00;;501.879;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-27 00:00:00;;501.910;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-28 00:00:00;;502.007;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-29 00:00:00;;502.019;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-30 00:00:00;;502.038;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-03-31 00:00:00;;502.015;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-01 00:00:00;;502.161;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-02 00:00:00;;502.193;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-03 00:00:00;;502.057;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-04 00:00:00;;502.042;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-05 00:00:00;;502.111;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-06 00:00:00;;502.150;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-07 00:00:00;;502.170;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-08 00:00:00;;502.264;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-09 00:00:00;;502.489;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-10 00:00:00;;502.509;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-11 00:00:00;;502.329;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-12 00:00:00;;502.241;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-13 00:00:00;;502.263;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-14 00:00:00;;502.305;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-15 00:00:00;;502.478;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-16 00:00:00;;502.635;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-17 00:00:00;;502.524;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-18 00:00:00;;502.410;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-19 00:00:00;;502.269;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-20 00:00:00;;502.271;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-21 00:00:00;;502.186;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-22 00:00:00;;502.136;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-23 00:00:00;;502.123;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-24 00:00:00;;502.082;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-25 00:00:00;;501.946;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-26 00:00:00;;501.967;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-27 00:00:00;;502.052;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-28 00:00:00;;502.206;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-29 00:00:00;;502.238;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-04-30 00:00:00;;502.317;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-01 00:00:00;;502.505;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-02 00:00:00;;502.493;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-03 00:00:00;;502.407;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-04 00:00:00;;502.399;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-05 00:00:00;;502.410;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-06 00:00:00;;502.487;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-05-07 00:00:00;;502.708;Freigegeben, geprüfte Daten
