Index,station_id,station_name,iso_country_code,latitude,longitude,elevation
GME00122698,GME00122698,GEISENHEIM,DE,49.985,7.9544,110.0
GME00122710,GME00122710,GEISINGEN,DE,47.925,8.6481,672.0
GME00122734,GME00122734,GELBELSEE,DE,48.9489,11.43,536.0
GME00122770,GME00122770,OHLSBACH,DE,48.4339,7.9933,176.0
GME00122806,GME00122806,GERNSHEIM-ALLMENDFELD,DE,49.7725,8.5306,96.0
GME00122890,GME00122890,GOSSWEINSTEIN,DE,49.7667,11.3075,443.0
GME00122938,GME00122938,GRAFENBERG-KASBERG,DE,49.665,11.2253,506.0
GME00122962,GME00122962,GRAINET-REHBERG,DE,48.7903,13.6306,628.0
GME00123094,GME00123094,FELDKIRCHEN-WESTERHAM-LENZMUHL,DE,47.9417,11.9014,517.0
GME00123166,GME00123166,KR. OSTALB GSCHWEND,DE,48.9364,9.7375,492.0
GME00123190,GME00123190,ARNSTEIN-MUDESHEIM,DE,49.9706,9.9125,220.0
GME00123226,GME00123226,OLSDORF,DE,49.9325,6.3756,305.0
GME00123382,GME00123382,HARBURG,DE,48.7928,10.7075,502.0
GME00123394,GME00123394,ASCHAFFENBURG,DE,49.9789,9.1125,110.0
GME00123466,GME00123466,HECHINGEN,DE,48.3758,8.9808,522.0
GME00123538,GME00123538,HEIDENHEIM/BRENZ,DE,48.6731,10.1331,500.0
GME00123562,GME00123562,HEILBRONN,DE,49.1456,9.2342,167.0
GME00123646,GME00123646,HERRENBERG,DE,48.5928,8.8553,430.0
GME00123682,GME00123682,NIEDERWORRESBACH,DE,49.7681,7.3364,302.0
GME00123730,GME00123730,ATTENKAM,DE,47.8781,11.3656,672.0
GME00123850,GME00123850,HOLLENSTEIN (KRAFTWERK),DE,49.1289,12.8658,403.0
GME00123970,GME00123970,HOLZKIRCHEN,DE,47.8831,11.6975,685.0
GME00123982,GME00123982,AUGSBURG (SANKT STEPHAN),DE,48.3731,10.8958,490.0
GME00124030,GME00124030,HOMBURG/SAAR,DE,49.3292,7.3567,235.0
GME00124066,GME00124066,HORNISGRINDE,DE,48.6142,8.2042,119.0
GME00124126,GME00124126,IDAR-OBERSTEIN,DE,49.7,7.3331,376.0
GME00124138,GME00124138,IHRINGEN,DE,48.0428,7.6328,193.0
GME00124162,GME00124162,INGELFINGEN,DE,49.2978,9.6531,209.0
GME00124186,GME00124186,INGOLSTADT (FLUGPLATZ),DE,48.7156,11.5333,364.0
GME00124318,GME00124318,KAHL/MAIN,DE,50.0656,8.9942,107.0
GME00124330,GME00124330,KAISERSBACH-CRONHUTTE,DE,48.9181,9.6881,489.0
GME00124342,GME00124342,KAISHEIM-NEUHOF,DE,48.7708,10.7889,516.0
GME00124402,GME00124402,KARLSHULD,DE,48.6775,11.2975,374.0
GME00124426,GME00124426,KAUFBEUREN,DE,47.8658,10.6017,716.0
GME00124438,GME00124438,KAUFERING,DE,48.0925,10.8619,585.0
GME00124450,GME00124450,KEHL-ODELSHOFEN,DE,48.5583,7.8808,141.0
GME00124474,GME00124474,KIRCHBERG/JAGST-HERBOLDSHAUSEN,DE,49.1814,9.9808,426.0
GME00124498,GME00124498,BADEN-BADEN-GEROLDSAU,DE,48.7278,8.2467,240.0
GME00124522,GME00124522,MULLHEIM,DE,47.8069,7.6392,273.0
GME00124534,GME00124534,KITZINGEN,DE,49.7369,10.1792,188.0
GME00124714,GME00124714,KONIGSMOOS-UNTERMAXFELD,DE,48.6717,11.2183,378.0
GME00124726,GME00124726,KOSCHING,DE,48.8308,11.4883,417.0
GME00124774,GME00124774,BAD KOHLGRUB (ROSSHOF),DE,47.6658,11.0817,740.0
GME00124846,GME00124846,KUMMERSBRUCK,DE,49.4289,11.9019,417.0
GME00124930,GME00124930,MERKLINGEN,DE,48.5131,9.7656,685.0
GME00124954,GME00124954,LANDSBERG (FLUGPLATZ),DE,48.0767,10.9144,621.0
GME00124978,GME00124978,LANDSHUT,DE,48.5367,12.1144,393.0
GME00125098,GME00125098,LAUPHEIM,DE,48.2181,9.9094,539.0
GME00125122,GME00125122,LECHFELD,DE,48.1864,10.8506,550.0
GME00125182,GME00125182,LEIBLFING,DE,48.7664,12.5133,365.0
